feature_name,data_type,role,provenance_category,directly_reproducible,requires_raw_url,requires_reference_corpus,requires_webpage_content,requires_network_access,included_in_deployment_model,confidence,evidence_or_reason
URL,str,source_text,A identifier/label/non-model,false,true,false,false,false,false,high,"Raw URL text column; used only as local text input and not as a numerical model feature."
URLLength,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,high,"Length of the URL string; defensible from local URL text."
Domain,str,text_metadata,B directly computable raw URL text,true,true,false,false,false,false,high,"Hostname/domain text can be parsed locally from URL text; supplied text column is not a numerical model feature."
DomainLength,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,high,"Length of locally parsed hostname/domain text."
IsDomainIP,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,high,"Can be checked from hostname text as an IP literal without DNS resolution."
TLD,str,text_metadata,B directly computable raw URL text,true,true,false,false,false,false,medium,"TLD text can be parsed from hostname text; exact public-suffix handling may differ."
URLSimilarityIndex,float64,feature,E uncertain/needs verification,false,true,true,false,false,false,low,"Dataset documentation describes this among derived features, but available local definitions do not specify the similarity reference or formula."
CharContinuationRate,float64,feature,E uncertain/needs verification,false,true,true,false,false,false,low,"Dataset documentation describes this among derived features; formula and any reference statistics are not locally verified."
TLDLegitimateProb,float64,feature,C URL-derived but external/reference/unavailable stats,false,true,true,false,false,false,medium,"A probability for TLD legitimacy implies corpus/class statistics beyond the submitted URL."
URLCharProb,float64,feature,E uncertain/needs verification,false,true,true,false,false,false,low,"Dataset documentation describes this among derived features; probability source and formula are unavailable."
TLDLength,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,medium,"TLD length can be computed locally once TLD parsing is defined."
NoOfSubDomain,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,medium,"Subdomain count can be estimated locally from hostname labels; exact registered-domain rule may differ."
HasObfuscation,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,medium,"Appears to indicate URL-text obfuscation such as encoded characters; can be computed from raw URL text with a documented rule."
NoOfObfuscatedChar,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,medium,"Appears to count URL-text obfuscation characters; exact original rule needs fidelity testing."
ObfuscationRatio,float64,feature,B directly computable raw URL text,true,true,false,false,false,false,medium,"Derived from obfuscation count and URL length; URL-text computable if the obfuscation rule is known."
NoOfLettersInURL,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,high,"Counts alphabetic characters in the URL string."
LetterRatioInURL,float64,feature,B directly computable raw URL text,true,true,false,false,false,false,high,"Ratio of URL letters to URL length; locally computable."
NoOfDegitsInURL,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,high,"Counts digit characters in the URL string; dataset spelling is retained."
DegitRatioInURL,float64,feature,B directly computable raw URL text,true,true,false,false,false,false,high,"Ratio of URL digits to URL length; dataset spelling is retained."
NoOfEqualsInURL,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,high,"Counts equals signs in URL text."
NoOfQMarkInURL,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,high,"Counts question marks in URL text."
NoOfAmpersandInURL,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,high,"Counts ampersands in URL text."
NoOfOtherSpecialCharsInURL,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,medium,"Counts special URL characters; exact excluded character set requires fidelity testing."
SpacialCharRatioInURL,float64,feature,B directly computable raw URL text,true,true,false,false,false,false,medium,"Ratio derived from special-character count and URL length; dataset spelling is retained."
IsHTTPS,int64,feature,B directly computable raw URL text,true,true,false,false,false,false,high,"Can be computed from URL scheme text without certificate or network inspection."
LineOfCode,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires fetched webpage source code; not reconstructible from raw URL text only."
LargestLineLength,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires fetched webpage source code lines."
HasTitle,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage title/content."
Title,str,text_metadata,D webpage/content-derived,false,false,false,true,true,false,high,"Page title text cannot be recreated without page content."
DomainTitleMatchScore,float64,feature,D webpage/content-derived,false,true,false,true,true,false,high,"Requires both domain text and webpage title/content."
URLTitleMatchScore,float64,feature,D webpage/content-derived,false,true,false,true,true,false,high,"Uses URL text plus webpage title/content; explicitly scrutinized and excluded from raw-URL inference."
HasFavicon,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage resource inspection."
Robots,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires robots/page/site inspection beyond raw URL text."
IsResponsive,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage rendering or source inspection."
NoOfURLRedirect,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires requesting URL or observing redirects."
NoOfSelfRedirect,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires redirect/page behavior inspection."
HasDescription,int64,feature,D webpage/content-derived,false,false,false,true,true,false,high,"Requires webpage metadata/content."
